timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1438643500,1557838577399971,-223533793,-486162329,495452,489756,0.15300001,0.7444537,0.42800003,0.536,0.61,0.81,120,11,0.019000001,-0.011000001,-0.016,0.018000001,6.063855,0,4,1,18
1438904974,1557838577599971,-223533793,-486162329,495458,489762,0.14,0.7444588,0.42900002,0.536,0.61,0.81,120,11,0.027,-0.027,0.001,0.009000001,6.063855,0,4,1,18
1439040306,1557838577799971,-223533793,-486162328,495466,489770,0.11400001,0.74446297,0.42900002,0.535,0.61,0.81,120,11,0.014,-0.001,-0.014,-0.0050000004,6.063855,0,4,1,18
1439238064,1557838577999972,-223533793,-486162328,495478,489782,0.15300001,0.74446875,0.42900002,0.535,0.61,0.81,120,11,0.011000001,-0.004,-0.010000001,0.013,6.063855,0,4,1,18
1439442101,1557838578199971,-223533792,-486162328,495480,489784,0.15400001,0.74447435,0.42900002,0.535,0.61,0.81,120,11,0.031000001,0.022000002,0.022000002,-0.032,6.063855,0,4,1,18
1439640735,1557838578399971,-223533792,-486162327,495491,489795,0.15200001,0.7444799,0.42900002,0.535,0.61,0.81,120,11,0.014,0.011000001,-0.008,0.017,6.063855,0,4,1,18
1439854952,1557838578599971,-223533791,-486162327,495495,489799,0.16000001,0.74448586,0.42900002,0.536,0.61,0.81,120,11,0.009000001,-0.007,0.0050000004,0.011000001,6.063855,0,4,1,18
1440047085,1557838578799971,-223533791,-486162327,495499,489803,0.16900001,0.7444921,0.43,0.536,0.61,0.81,120,11,0.008,-0.002,0.008,0.021000002,6.063855,0,4,1,18
1440248117,1557838578999972,-223533791,-486162327,495503,489806,0.13700001,0.7444972,0.43,0.536,0.61,0.81,120,11,0.010000001,-0.0050000004,-0.009000001,0.0050000004,6.063855,0,4,1,18
1440849128,1557838579599971,-223533791,-486162328,495508,489812,0.135,0.7445129,0.43100002,0.537,0.61,0.81,120,11,0.028,0.023000002,-0.016,0.009000001,6.063855,0,4,1,18
1441049118,1557838579799971,-223533791,-486162328,495503,489807,0.127,0.7445176,0.43100002,0.53800005,0.61,0.81,120,11,0.046000004,-0.015000001,0.044000003,-0.014,6.063855,0,4,1,18
