timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
2791950553,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2792312308,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2792541098,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2792776590,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2793013195,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2793256564,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2793497383,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2793737881,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2793974149,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2794163283,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
2794246466,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2794447229,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2794687096,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2794920689,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2795157774,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2795397673,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2795638485,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2795878670,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2796119583,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2796359764,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2796595562,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2796836023,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2797073076,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2797308733,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2797549781,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2797790570,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2798030304,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2798270521,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2798510941,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2798751927,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2798996379,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2799229105,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2799461686,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2799704732,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2799950338,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2800191774,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2800431270,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2800671504,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2800907179,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2801147522,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2801388108,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2801624778,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2801865219,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2802102568,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2802342661,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2802583263,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2802823663,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2803059268,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2803299277,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2803537060,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2803777138,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2804017877,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2804262815,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2804502366,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2804747178,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2804994796,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2805239884,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2805479694,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2805725555,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2805966031,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2806206008,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2806446808,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2806694705,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2806935241,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2807178811,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2807423297,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2807664414,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2807904169,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2808156361,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2808405709,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2808647143,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2808890459,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2809131380,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2809370548,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2809615909,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2809856555,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2810101157,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2810349364,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2810590006,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2810838499,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2811082040,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2811327215,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2811571704,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2811812007,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2812051665,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2812293165,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2812528836,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2812768864,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2813009880,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2813249965,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2813490286,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2813730971,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2813967784,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2814207270,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2814448280,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2814688515,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2814929297,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2815169673,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2815410009,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2815655294,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
