timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,dist_crop,filter_horizon,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid,track_mode
3732761160,14977977,-22.353443799995777,-48.61605419999082,8.244785,-15.996716,0.64416826,0.0014408983,0.0025268272,0.0,0.018749474,-0.0016106544,0.01887527,0.025499206,-0.0085652955,-0.0013813828,0.08076739,0.5151445,-0.012766075,0.00410055,-1.1956651,496.6547,0.13428628,-0.01887527,0.08568628,300,0.288546,0.14120483,0.15053672,0.048674826,1,1,1,1,1,0,1,1,1,1,1,0
3732861310,14977977,-22.353443799995777,-48.61605419999082,8.247435,-15.99556,0.6505502,0.0014408983,0.0025268272,0.0,0.029825684,0.014025904,0.024671514,0.035065163,-0.0085652955,-0.0013813828,0.08076739,1.3232106,1.8446884,1.5530746,-1.196309,496.6547,0.15007834,-0.024671514,0.101878345,300,0.2759917,0.14123914,0.14537442,0.048671734,1,1,1,1,1,0,1,1,1,1,1,0
3732966148,14977977,-22.353443799995777,-48.61605419999082,8.250139,-15.991641,0.6593717,0.0014408983,0.0025268272,0.0,0.011989249,0.008275382,0.021670485,0.036888525,-0.0085652955,-0.0013813828,0.08076739,-1.8487033,0.2715738,-0.91416615,-1.1953176,496.6547,0.14999215,-0.021670485,0.10179216,300,0.28854108,0.14116567,0.15035272,0.048660103,1,1,1,1,1,0,1,1,1,1,1,0
3733069986,14977977,-22.353443799995777,-48.61605419999082,8.2514925,-15.988039,0.6675479,0.0014408983,0.0025268272,0.0,0.023508936,0.010803843,0.026271977,0.045000177,-0.0085652955,-0.0013813828,0.08076739,-0.5490437,1.9500377,0.6820892,-1.1952314,496.6547,0.12499759,-0.026271977,0.0765976,300,0.27775925,0.14097822,0.1461657,0.048640832,1,1,1,1,1,0,1,1,1,1,1,0
3733170047,14977977,-22.353443799995777,-48.61605419999082,8.25331,-15.985288,0.6764673,0.0014408983,0.0025268272,0.0,0.02120152,0.0062877866,0.025917407,0.04867914,-0.0085652955,-0.0013813828,0.08076739,0.7240074,-1.7602454,-0.95128125,-1.1949413,496.6547,0.13708,-0.025917407,0.08828001,300,0.2881979,0.14094727,0.15027547,0.04859486,1,1,1,1,1,0,1,1,1,1,1,0
3733274072,14977977,-22.353443799995777,-48.61605419999082,8.254566,-15.980912,0.6901275,0.0014408983,0.0025268272,0.0,0.022248756,0.014650568,0.027333276,0.05766358,-0.0085652955,-0.0013813828,0.08076739,1.1233255,-0.055420253,-0.21533208,-1.1951535,496.6547,0.13555849,-0.027333276,0.08675848,300,0.27747977,0.14076908,0.14610364,0.04858384,1,1,1,1,1,0,1,1,1,1,1,0
3733374055,14977977,-22.353443799995777,-48.61605419999082,8.2560215,-15.977386,0.70696694,0.0014408983,0.0025268272,0.0,0.021384876,0.004937747,0.032889772,0.07285975,-0.0085652955,-0.0013813828,0.08076739,0.6430505,-2.5147405,-0.54819095,-1.1949064,496.6547,0.12680408,-0.032889772,0.07800408,300,0.28920296,0.14059484,0.1507328,0.0485732,1,1,1,1,1,0,1,1,1,1,1,0
3733474832,14977977,-22.353443799995777,-48.61605419999082,8.256575,-15.974536,0.7238373,0.0014408983,0.0025268272,0.0,0.018448697,0.014618055,0.034566112,0.083327696,-0.0085652955,-0.0013813828,0.08076739,1.1208848,0.884538,0.8080055,-1.1951492,496.6547,0.12407445,-0.034566112,0.07527445,300,0.27755126,0.14064895,0.1461837,0.048582196,1,1,1,1,1,0,1,1,1,1,1,0
3733574811,14977977,-22.353443799995777,-48.61605419999082,8.25696,-15.9712,0.7418808,0.0014408983,0.0025268272,0.0,0.016260194,0.022164235,0.037815537,0.09501273,-0.0085652955,-0.0013813828,0.08076739,-2.75918,2.4250615,0.29998085,-1.1948267,496.6547,0.116268046,-0.037815537,0.06746805,300,0.28928506,0.14081879,0.1508258,0.048599742,1,1,1,1,1,0,1,1,1,1,1,0
3733678907,14977977,-22.353443799995777,-48.61605419999082,8.256534,-15.967613,0.7581308,0.0014408983,0.0025268272,0.0,0.018351695,0.0136033185,0.035106376,0.097922586,-0.0085652955,-0.0013813828,0.08076739,-1.2122997,0.5566936,-0.6141774,-1.1944101,496.6547,0.13609594,-0.035106376,0.08679594,300,0.27847007,0.14100583,0.14659096,0.04863159,1,1,1,1,1,0,1,1,1,1,1,0
3733778887,14977977,-22.353443799995777,-48.61605419999082,8.256816,-15.965091,0.7711571,0.0014408983,0.0025268272,0.0,0.020965999,0.011878751,0.039067045,0.10445434,-0.0085652955,-0.0013813828,0.08076739,1.6600089,0.60309637,0.43591845,-1.1947145,496.6547,0.13231845,-0.039067045,0.08301845,300,0.28932822,0.14104787,0.15087114,0.048634157,1,1,1,1,1,0,1,1,1,1,1,0
3733879710,14977977,-22.353443799995777,-48.61605419999082,8.255423,-15.96199,0.7837011,0.0014408983,0.0025268272,0.0,0.012184815,0.00752131,0.04035204,0.10702449,-0.0085652955,-0.0013813828,0.08076739,0.77315295,-2.355475,0.5839073,-1.1945268,496.6547,0.1276755,-0.04035204,0.0783755,300,0.2785385,0.14086244,0.14665323,0.0486174,1,1,1,1,1,0,1,1,1,1,1,0
3733983762,14977977,-22.353443799995777,-48.61605419999082,8.254948,-15.959239,0.79610807,0.0014408983,0.0025268272,0.0,0.025050757,0.012169241,0.0381182,0.10578486,-0.0085652955,-0.0013813828,0.08076739,0.38553357,-1.4203306,-0.97479373,-1.194878,496.6547,0.13139963,-0.0381182,0.08259964,300,0.2903325,0.14102875,0.15129656,0.04863164,1,1,1,1,1,0,1,1,1,1,1,0
3734083787,14977977,-22.353443799995777,-48.61605419999082,8.254317,-15.956504,0.80957246,0.0014408983,0.0025268272,0.0,0.022730963,0.010499019,0.04031678,0.11052123,-0.0085652955,-0.0013813828,0.08076739,0.70950866,-2.5174325,-0.15019047,-1.1949778,496.6547,0.13391937,-0.04031678,0.08531937,300,0.27869186,0.14109115,0.1467677,0.048650127,1,1,1,1,1,0,1,1,1,1,1,0
3734183905,14977977,-22.353443799995777,-48.61605419999082,8.253728,-15.954471,0.8241167,0.0014408983,0.0025268272,0.0,0.010125819,0.0064049996,0.03752869,0.11045739,-0.0085652955,-0.0013813828,0.08076739,-0.06563535,2.1978538,-0.5750443,-1.1943711,496.6547,0.14181864,-0.03752869,0.09321864,300,0.29049957,0.14090519,0.15137535,0.048631728,1,1,1,1,1,0,1,1,1,1,1,0
3734287735,14977977,-22.353443799995777,-48.61605419999082,8.253433,-15.951945,0.84351635,0.0014408983,0.0025268272,0.0,0.019433403,0.01859204,0.045905314,0.12566556,-0.0085652955,-0.0013813828,0.08076739,-1.1318406,1.568002,0.025880422,-1.194833,496.6547,0.13791746,-0.045905314,0.08911745,300,0.27969873,0.14107455,0.14717098,0.04864674,1,1,1,1,1,0,1,1,1,1,1,0
3734388456,14977977,-22.353443799995777,-48.61605419999082,8.2538,-15.949261,0.8634792,0.0014408983,0.0025268272,0.0,0.008918032,0.015065072,0.04178917,0.12876423,-0.0085652955,-0.0013813828,0.08076739,-1.2392238,1.1869534,-1.167853,-1.1945996,496.6547,0.13633949,-0.04178917,0.087539494,300,0.2906218,0.14077212,0.15143242,0.04861892,1,1,1,1,1,0,1,1,1,1,1,0
3734488483,14977977,-22.353443799995777,-48.61605419999082,8.252483,-15.947654,0.8848002,0.0014408983,0.0025268272,0.0,0.01794562,0.0035309047,0.05173729,0.14555722,-0.0085652955,-0.0013813828,0.08076739,-0.14490394,-0.4982583,0.98375934,-1.1944174,496.6547,0.1301674,-0.05173729,0.08136739,300,0.27979547,0.14094272,0.14722955,0.04863378,1,1,1,1,1,0,1,1,1,1,1,0
3734592463,14977977,-22.353443799995777,-48.61605419999082,8.252097,-15.946138,0.9043303,0.0014408983,0.0025268272,0.0,0.015700882,0.009974769,0.05190096,0.14963743,-0.0085652955,-0.0013813828,0.08076739,0.5848681,-2.5561547,-1.0334601,-1.1942416,496.6547,0.1534659,-0.05190096,0.1041659,300,0.2696372,0.1407837,0.14311177,0.04863325,1,1,1,1,1,0,1,1,1,1,1,0
3734692530,14977977,-22.353443799995777,-48.61605419999082,8.251391,-15.944323,0.91651493,0.0014408983,0.0025268272,0.0,0.022803446,0.014885756,0.046573885,0.14177467,-0.0085652955,-0.0013813828,0.08076739,1.4175534,-0.57050276,0.70607,-1.1940322,496.6547,0.14623779,-0.046573885,0.09693779,300,0.28008476,0.14083238,0.14733566,0.04863589,1,1,1,1,1,0,1,1,1,1,1,0
3734796540,14977977,-22.353443799995777,-48.61605419999082,8.250769,-15.943056,0.9271589,0.0014408983,0.0025268272,0.0,0.013518415,0.012833602,0.047800384,0.13834244,-0.0085652955,-0.0013813828,0.08076739,-0.11808847,-0.37184694,0.13918316,-1.1939927,496.6547,0.11896146,-0.047800384,0.06926146,300,0.26991814,0.14100233,0.14329363,0.04864922,1,1,1,1,1,0,1,1,1,1,1,0
3734897343,14977977,-22.353443799995777,-48.61605419999082,8.25002,-15.942394,0.9353409,0.0014408983,0.0025268272,0.0,0.012048878,0.013537876,0.044346996,0.12880029,-0.0085652955,-0.0013813828,0.08076739,0.058973026,2.7769597,0.012362297,-1.1942091,496.6547,0.12525772,-0.044346996,0.075557716,300,0.28128085,0.14082222,0.14786594,0.048631683,1,1,1,1,1,0,1,1,1,1,1,0
3735001207,14977977,-22.353443799995777,-48.61605419999082,8.249629,-15.941559,0.9400685,0.0014408983,0.0025268272,0.0,0.0049244636,0.014169188,0.04528384,0.121078655,-0.0085652955,-0.0013813828,0.08076739,-0.8379637,0.124839045,-0.7777358,-1.193645,496.6547,0.14212595,-0.04528384,0.09242594,300,0.27087936,0.14101222,0.14366391,0.04866232,1,1,1,1,1,0,1,1,1,1,1,0
3735101372,14977977,-22.353443799995777,-48.61605419999082,8.249,-15.940168,0.94219464,0.0014408983,0.0025268272,0.0,0.0113023985,0.012511861,0.04010521,0.10664618,-0.0085652955,-0.0013813828,0.08076739,-2.5262172,2.2404127,-0.4838572,-1.1941509,496.6547,0.15650845,-0.04010521,0.10680845,300,0.28139448,0.1407143,0.14788367,0.048634212,1,1,1,1,1,0,1,1,1,1,1,0
3735205251,14977977,-22.353443799995777,-48.61605419999082,8.248803,-15.9384575,0.94371957,0.0014408983,0.0025268272,0.0,0.009252548,0.019514363,0.0415944,0.09877435,-0.0085652955,-0.0013813828,0.08076739,-1.155491,1.9575502,0.9445765,-1.1938269,496.6547,0.123323895,-0.0415944,0.0732239,300,0.2708855,0.14088987,0.14363329,0.048648164,1,1,1,1,1,0,1,1,1,1,1,0
3735305318,14977977,-22.353443799995777,-48.61605419999082,8.247443,-15.936708,0.94271773,0.0014408983,0.0025268272,0.0,0.012473109,0.012283514,0.03997308,0.08676716,-0.0085652955,-0.0013813828,0.08076739,-0.34670424,-1.0412447,-0.39346495,-1.1941698,496.6547,0.11605448,-0.03997308,0.065954484,300,0.2822953,0.14071453,0.14821675,0.048631363,1,1,1,1,1,0,1,1,1,1,1,0
3735406106,14977977,-22.353443799995777,-48.61605419999082,8.2473345,-15.935277,0.9445701,0.0014408983,0.0025268272,0.0,0.022361333,0.011395295,0.03806243,0.0787726,-0.0085652955,-0.0013813828,0.08076739,0.23915197,0.17243548,1.1662294,-1.1935607,496.6547,0.10753189,-0.03806243,0.05743189,300,0.2707732,0.14076684,0.14351977,0.04863441,1,1,1,1,1,0,1,1,1,1,1,0
3735510005,14977977,-22.353443799995777,-48.61605419999082,8.246368,-15.933289,0.94767934,0.0014408983,0.0025268272,0.0,0.007614322,0.014144636,0.03594854,0.07193613,-0.0085652955,-0.0013813828,0.08076739,-1.2044513,-0.47056773,-0.9434833,-1.1937317,496.6547,0.10362502,-0.03594854,0.054025024,300,0.28226104,0.14061394,0.14817216,0.04863524,1,1,1,1,1,0,1,1,1,1,1,0
3735610099,14977977,-22.353443799995777,-48.61605419999082,8.245555,-15.931355,0.9503724,0.0014408983,0.0025268272,0.0,0.0051547764,0.016627155,0.03274422,0.064391375,-0.0085652955,-0.0013813828,0.08076739,0.6738136,1.547678,-1.6756798,-1.193764,496.6547,0.12273828,-0.03274422,0.07303828,300,0.2717761,0.1407916,0.14391649,0.048648886,1,1,1,1,1,0,1,1,1,1,1,0
3735710034,14977977,-22.353443799995777,-48.61605419999082,8.245636,-15.929283,0.9526536,0.0014408983,0.0025268272,0.0,0.01274604,0.014290482,0.03674625,0.06434501,-0.0085652955,-0.0013813828,0.08076739,-1.3966556,1.1589262,-0.04319041,-1.1935887,496.6547,0.1107255,-0.03674625,0.0610255,300,0.28232285,0.1408456,0.14816554,0.048651293,1,1,1,1,1,0,1,1,1,1,1,0
3735814975,14977977,-22.353443799995777,-48.61605419999082,8.246011,-15.927502,0.9578623,0.0014408983,0.0025268272,0.0,0.007735192,0.009764804,0.033634443,0.059821032,-0.0085652955,-0.0013813828,0.08076739,-0.74617475,0.5678124,-1.5397542,-1.1934111,496.6547,0.120337166,-0.033634443,0.07063717,300,0.2726863,0.14079145,0.14422855,0.048644133,1,1,1,1,1,0,1,1,1,1,1,0
3735918840,14977977,-22.353443799995777,-48.61605419999082,8.246002,-15.926088,0.9664037,0.0014408983,0.0025268272,0.0,0.008404478,0.015963785,0.030865723,0.059211772,-0.0085652955,-0.0013813828,0.08076739,0.6664369,0.5485074,-2.84172,-1.1936405,496.6547,0.12605792,-0.030865723,0.076357916,300,0.28381765,0.14088683,0.14870949,0.048606493,1,1,1,1,1,0,1,1,1,1,1,0
3736018848,14977977,-22.353443799995777,-48.61605419999082,8.247287,-15.924655,0.97308093,0.0014408983,0.0025268272,0.0,0.035200164,0.008224635,-0.07835904,-0.04687018,-0.0085652955,-0.0013813828,0.08076739,-2.6226919,3.2424686,-7.5633154,-1.1944737,496.6547,0.13274479,0.07835904,0.08344479,300,0.27231342,0.14093538,0.14403878,0.048612725,1,1,1,1,1,0,1,1,1,1,1,0
3736122942,14977977,-22.353443799995777,-48.61605419999082,8.252503,-15.925728,0.9527497,0.0014408983,0.0025268272,0.0,0.08648294,-0.017936504,-0.49586076,-0.45832396,-0.0085652955,-0.0013813828,0.08076739,-0.77836114,0.8178075,-5.0766635,-1.1928923,496.6547,0.15915744,0.49586076,0.11035743,300,0.28378326,0.14075817,0.14864334,0.04859963,1,1,1,1,1,0,1,1,1,1,1,0
